,0
1,AB
2,ABa
3,ABal
4,ABala
5,ABalaa
6,ABalaaa
7,ABalaaaa
8,ABalaaaal
9,ABalaaaala
10,ABalaaaalp
11,ABalaaaalpa
12,ABalaaaalpp
13,ABalaaaar
14,ABalaaaarl
15,ABalaaaarla
16,ABalaaaarlaa
17,ABalaaaarlaaa
18,ABalaaaarlaaaa
19,ABalaaaarlaaap
20,ABalaaaarlaap
21,ABalaaaarlap
22,ABalaaaarlapa
23,ABalaaaarlapp
24,ABalaaaarlappa
25,ABalaaaarlappp
26,ABalaaaarlp
27,ABalaaaarlpa
28,ABalaaaarlpaa
29,ABalaaaarlpap
30,ABalaaaarlpp
31,ABalaaaarr
32,ABalaaaarra
33,ABalaaaarraa
34,ABalaaaarrap
35,ABalaaaarrp
36,ABalaaap
37,ABalaaapa
38,ABalaaapal
39,ABalaaapall
40,ABalaaapalla
41,ABalaaapallp
42,ABalaaapalr
43,ABalaaapalra
44,ABalaaapalrp
45,ABalaaapar
46,ABalaaaparl
47,ABalaaaparr
48,ABalaaaparra
49,ABalaaaparraa
50,ABalaaaparrap
51,ABalaaaparrapa
52,ABalaaaparrapp
53,ABalaaaparrp
54,ABalaaapp
55,ABalaaappl
56,ABalaaappll
57,ABalaaapplr
58,ABalaaapplra
59,ABalaaapplrp
60,ABalaaapplrpa
61,ABalaaapplrpaa
62,ABalaaapplrpap
63,ABalaaapplrpp
64,ABalaaappr
65,ABalaaapprl
66,ABalaaapprla
67,ABalaaapprlp
68,ABalaaapprlpa
69,ABalaaapprlpp
70,ABalaaapprr
71,ABalaap
72,ABalaapa
73,ABalaapaa
74,ABalaapaaa
75,ABalaapaaal
76,ABalaapaaar
77,ABalaapaaara
78,ABalaapaaarp
79,ABalaapaap
80,ABalaapaapa
81,ABalaapaapaa
82,ABalaapaapaaa
83,ABalaapaapaaaa
84,ABalaapaapaaap
85,ABalaapaapaap
86,ABalaapaapap
87,ABalaapaapp
88,ABalaapaappa
89,ABalaapaappp
90,ABalaapap
91,ABalaapapa
92,ABalaapapp
93,ABalaapappa
94,ABalaapappp
95,ABalaapp
96,ABalaappa
97,ABalaappaa
98,ABalaappap
99,ABalaappp
100,ABalaapppa
101,ABalaapppaa
102,ABalaapppap
103,ABalaapppapa
104,ABalaapppapp
105,ABalaapppp
106,ABalaappppa
107,ABalaappppp
108,ABalap
109,ABalapa
110,ABalapaa
111,ABalapaaa
112,ABalapaaaa
113,ABalapaaaaa
114,ABalapaaaaaa
115,ABalapaaaaap
116,ABalapaaaaapa
117,ABalapaaaaapp
118,ABalapaaaap
119,ABalapaaaapa
120,ABalapaaaapaa
121,ABalapaaaapap
122,ABalapaaaapp
123,ABalapaaap
124,ABalapaaapa
125,ABalapaaapp
126,ABalapaaappa
127,ABalapaaappp
128,ABalapaap
129,ABalapaapa
130,ABalapaapaa
131,ABalapaapap
132,ABalapaapapa
133,ABalapaapapaa
